testType,bGraphMatch,unaryFeat,edgeFeat,inCntType,database,category,testCnt,iter#,total node#,outlier#,complete,density,deform,graph#,alg#,scale,edgeWeight,initConstWeight,consStep,constWeightMax,iterImmune
formal,1,0,1,all,synthetic,deform,1,6,10,0,1.00,0.90,0.15,8,11,0.05,1.00,0.20,1.10,1.00,2

test01
,,rrwm,,,,cao*,,,,cao,,,,cao-c*,,,,cao-c,,,,cao-uc*,,,,cao-uc,,,,cao-pc*,,,,cao-pc,,,,mOpt,,,,mSync,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 05,  06, 0.140, 2.039, 1.000, 0.208, 0.140, 2.039, 1.000, 0.467, 0.140, 2.039, 1.000, 0.000, 0.140, 2.039, 1.000, 0.213, 0.140, 2.039, 1.000, 0.216, 0.140, 2.039, 1.000, 0.226, 0.140, 2.039, 1.000, 0.239, 0.140, 2.039, 1.000, 0.216, 0.140, 2.039, 1.000, 0.220, 0.140, 2.039, 1.000, 0.347, 0.140, 2.039, 1.000, 0.432
 06,  06, 0.120, 1.975, 1.000, 0.312, 0.120, 1.975, 1.000, 0.328, 0.120, 1.975, 1.000, 0.000, 0.120, 1.975, 1.000, 0.319, 0.120, 1.975, 1.000, 0.321, 0.120, 1.975, 1.000, 0.318, 0.120, 1.975, 1.000, 0.321, 0.120, 1.975, 1.000, 0.318, 0.120, 1.975, 1.000, 0.320, 0.120, 1.975, 1.000, 0.323, 0.120, 1.975, 1.000, 0.328
 07,  06, 0.124, 1.911, 1.000, 0.437, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.000, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.449, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.449, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.449, 0.124, 1.911, 1.000, 0.445, 0.124, 1.911, 1.000, 0.441
 08,  06, 0.129, 1.947, 1.000, 0.582, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.000, 0.129, 1.947, 1.000, 0.594, 0.129, 1.947, 1.000, 0.600, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.600, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.600, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.587
overall mean
,,rrwm,,,,cao*,,,,cao,,,,cao-c*,,,,cao-c,,,,cao-uc*,,,,cao-uc,,,,cao-pc*,,,,cao-pc,,,,mOpt,,,,mSync,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 05,  06, 0.140, 2.039, 1.000, 0.208, 0.140, 2.039, 1.000, 0.467, 0.140, 2.039, 1.000, 0.000, 0.140, 2.039, 1.000, 0.213, 0.140, 2.039, 1.000, 0.216, 0.140, 2.039, 1.000, 0.226, 0.140, 2.039, 1.000, 0.239, 0.140, 2.039, 1.000, 0.216, 0.140, 2.039, 1.000, 0.220, 0.140, 2.039, 1.000, 0.347, 0.140, 2.039, 1.000, 0.432
 06,  06, 0.120, 1.975, 1.000, 0.312, 0.120, 1.975, 1.000, 0.328, 0.120, 1.975, 1.000, 0.000, 0.120, 1.975, 1.000, 0.319, 0.120, 1.975, 1.000, 0.321, 0.120, 1.975, 1.000, 0.318, 0.120, 1.975, 1.000, 0.321, 0.120, 1.975, 1.000, 0.318, 0.120, 1.975, 1.000, 0.320, 0.120, 1.975, 1.000, 0.323, 0.120, 1.975, 1.000, 0.328
 07,  06, 0.124, 1.911, 1.000, 0.437, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.000, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.449, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.449, 0.124, 1.911, 1.000, 0.446, 0.124, 1.911, 1.000, 0.449, 0.124, 1.911, 1.000, 0.445, 0.124, 1.911, 1.000, 0.441
 08,  06, 0.129, 1.947, 1.000, 0.582, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.000, 0.129, 1.947, 1.000, 0.594, 0.129, 1.947, 1.000, 0.600, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.600, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.600, 0.129, 1.947, 1.000, 0.595, 0.129, 1.947, 1.000, 0.587
